"","Null.r","Truly.exceptional","Except.depaup.crown.0.0","Except.diverse.crown.0.0","Pval.crown.0.0","Except.depaup.stem.0.0","Except.diverse.stem.0.0","Pval.stem.0.0","Except.depaup.crown.0.5","Except.diverse.crown.0.5","Pval.crown.0.5","Except.depaup.stem.0.5","Except.diverse.stem.0.5","Pval.stem.0.5","Except.depaup.crown.0.9","Except.diverse.crown.0.9","Pval.crown.0.9","Except.depaup.stem.0.9","Except.diverse.stem.0.9","Pval.stem.0.9"
"A.a",0.04426,FALSE,FALSE,FALSE,0.706165031529032,FALSE,FALSE,0.716102934420104,FALSE,FALSE,0.858567786982406,FALSE,FALSE,0.511695892109283,FALSE,FALSE,0.777176601403638,FALSE,FALSE,0.416152331486382
"A.b",0.04508,FALSE,FALSE,TRUE,1.4681371109255e-05,FALSE,TRUE,2.00054059632959e-05,FALSE,TRUE,0.00207117836251669,FALSE,TRUE,0.00290004808116384,FALSE,FALSE,0.157778302174652,FALSE,FALSE,0.225172192418392
"A.c",0.27491,TRUE,FALSE,TRUE,0.010736307435872,FALSE,FALSE,0.104017345203108,FALSE,FALSE,0.0752563642186605,FALSE,FALSE,0.368961951963965,FALSE,FALSE,0.55311677470029,FALSE,FALSE,0.879238365080224
"A.d",0.08312,FALSE,FALSE,FALSE,0.50728331157883,FALSE,FALSE,0.0861867469842208,FALSE,FALSE,0.660250090641575,FALSE,FALSE,0.0578810638199185,FALSE,FALSE,0.435710227516479,TRUE,FALSE,0.0458349257418835
"A.e",0.15752,FALSE,FALSE,FALSE,0.777552422942122,FALSE,FALSE,0.638132433927759,FALSE,FALSE,0.935265733204272,FALSE,FALSE,0.933829908088897,FALSE,FALSE,0.951792236592704,FALSE,FALSE,0.90374449424609
"A.f",0.0679,FALSE,FALSE,TRUE,0.0485382315876032,FALSE,FALSE,0.501977593236801,FALSE,FALSE,0.162793268428572,FALSE,FALSE,0.342495004227414,FALSE,FALSE,0.580309906503102,FALSE,FALSE,0.246245340256985
"A.g",0.15915,FALSE,FALSE,FALSE,0.0808590026366225,FALSE,FALSE,0.260727742678353,FALSE,FALSE,0.252457261461515,FALSE,FALSE,0.173571996622663,FALSE,FALSE,0.213482625835854,FALSE,FALSE,0.123062988835738
"A.h",0.07843,FALSE,FALSE,TRUE,0.0177057948566362,FALSE,FALSE,0.421833805787874,FALSE,FALSE,0.101044813566254,FALSE,FALSE,0.820369520115602,FALSE,FALSE,0.62393592286896,FALSE,FALSE,0.554568883634804
"A.i",0.01991,FALSE,FALSE,FALSE,0.35431840303657,FALSE,FALSE,0.996095191168165,FALSE,FALSE,0.590332847831444,FALSE,FALSE,0.743378426656282,FALSE,FALSE,0.621836341482023,FALSE,FALSE,0.614208825283394
"A.j",0.05884,FALSE,FALSE,TRUE,0.00373283368025962,FALSE,FALSE,0.0756468766730137,FALSE,TRUE,0.0416862755278165,FALSE,FALSE,0.296690035306982,FALSE,FALSE,0.393575412223534,FALSE,FALSE,0.918220192404748
"B.a",0.15068,FALSE,FALSE,FALSE,0.446216243846646,FALSE,FALSE,0.48509445845187,FALSE,FALSE,0.630471373536785,FALSE,FALSE,0.327920490460567,FALSE,FALSE,0.482726925115806,FALSE,FALSE,0.227032776543355
"B.b",0.03346,FALSE,FALSE,TRUE,0.00116597319657984,FALSE,TRUE,0.00401835240461235,FALSE,TRUE,0.0221857440653849,FALSE,FALSE,0.0572259711308044,FALSE,FALSE,0.355224735727038,FALSE,FALSE,0.599929026154727
"B.c",0.08633,FALSE,FALSE,FALSE,0.816249753022714,FALSE,FALSE,0.867452160836206,FALSE,FALSE,0.877705832491261,FALSE,FALSE,0.581995331882872,FALSE,FALSE,0.55984761940348,FALSE,FALSE,0.312751100770713
"B.d",0.18071,FALSE,FALSE,FALSE,0.705725044879257,FALSE,FALSE,0.350767983475208,FALSE,FALSE,0.784874483939009,FALSE,FALSE,0.712534221909486,FALSE,FALSE,0.822017138453259,FALSE,FALSE,0.740105582830241
"B.e",0.20384,FALSE,FALSE,TRUE,0.000213990932486704,FALSE,TRUE,0.017943706952951,FALSE,TRUE,0.00697710990695918,FALSE,FALSE,0.115155752624705,FALSE,FALSE,0.124167924318587,FALSE,FALSE,0.481723715528849
"B.f",0.1777,FALSE,TRUE,FALSE,0.023493729994275,TRUE,FALSE,0.035113595529543,FALSE,FALSE,0.130863988920829,TRUE,FALSE,0.0234791004131023,FALSE,FALSE,0.0973295455219894,TRUE,FALSE,0.0185585339710153
"B.g",0.02683,FALSE,FALSE,TRUE,0.00215586084353747,FALSE,FALSE,0.0775768675880301,FALSE,TRUE,0.030113424669089,FALSE,FALSE,0.295973115850963,FALSE,FALSE,0.330031971480474,FALSE,FALSE,0.881492363748009
