"","Null.r","Truly.exceptional","Except.depaup.crown.0.0","Except.diverse.crown.0.0","Pval.crown.0.0","Except.depaup.stem.0.0","Except.diverse.stem.0.0","Pval.stem.0.0","Except.depaup.crown.0.5","Except.diverse.crown.0.5","Pval.crown.0.5","Except.depaup.stem.0.5","Except.diverse.stem.0.5","Pval.stem.0.5","Except.depaup.crown.0.9","Except.diverse.crown.0.9","Pval.crown.0.9","Except.depaup.stem.0.9","Except.diverse.stem.0.9","Pval.stem.0.9"
"A.a",0.04426,FALSE,FALSE,FALSE,0.257262039841548,FALSE,FALSE,0.396990494950647,FALSE,FALSE,0.477853419917826,FALSE,FALSE,0.274301824611054,FALSE,FALSE,0.43537550732616,FALSE,FALSE,0.219861443312174
"A.b",0.04508,FALSE,FALSE,TRUE,0.0127161874565692,FALSE,TRUE,0.00675808484493765,FALSE,FALSE,0.0855073830088945,FALSE,FALSE,0.0790736038500725,FALSE,FALSE,0.572066018089737,FALSE,FALSE,0.679553436503602
"A.c",0.27491,TRUE,FALSE,FALSE,0.256602975126597,FALSE,FALSE,0.456108200356589,FALSE,FALSE,0.45218503956368,FALSE,FALSE,0.859024972850806,FALSE,FALSE,0.946329160652543,FALSE,FALSE,0.502828243023322
"A.d",0.08312,FALSE,FALSE,FALSE,0.16406326136642,TRUE,FALSE,0.0428118052428339,FALSE,FALSE,0.350682257712211,TRUE,FALSE,0.0286452305744671,FALSE,FALSE,0.227371940572278,TRUE,FALSE,0.0226481992303305
"A.e",0.15752,FALSE,FALSE,FALSE,0.292178700765846,FALSE,FALSE,0.870281066877465,FALSE,FALSE,0.528357334490317,FALSE,FALSE,0.633376490697678,FALSE,FALSE,0.551872547110549,FALSE,FALSE,0.519286992186595
"A.f",0.0679,FALSE,FALSE,FALSE,0.473063337295303,FALSE,FALSE,0.267023011818532,FALSE,FALSE,0.61912109848049,FALSE,FALSE,0.177869371775631,FALSE,FALSE,0.916421272292672,FALSE,FALSE,0.126148344642858
"A.g",0.15915,FALSE,TRUE,FALSE,0.0215341373188083,FALSE,FALSE,0.133129131847767,FALSE,FALSE,0.127775561112276,FALSE,FALSE,0.0875665668780929,FALSE,FALSE,0.108281173032436,FALSE,FALSE,0.061665377963704
"A.h",0.07843,FALSE,FALSE,FALSE,0.318120302579142,FALSE,FALSE,0.918513805871064,FALSE,FALSE,0.513996307167527,FALSE,FALSE,0.719086638280635,FALSE,FALSE,0.8813868197564,FALSE,FALSE,0.299746421050556
"A.i",0.01991,FALSE,FALSE,FALSE,0.112650257886213,FALSE,FALSE,0.588550254966781,FALSE,FALSE,0.315810706070555,FALSE,FALSE,0.414678850508293,FALSE,FALSE,0.339693466144219,FALSE,FALSE,0.335192999272224
"A.j",0.05884,FALSE,FALSE,FALSE,0.150558232639228,FALSE,FALSE,0.388964976996048,FALSE,FALSE,0.32823368525493,FALSE,FALSE,0.770311671063973,FALSE,FALSE,0.888421869957287,FALSE,FALSE,0.64484673015515
"B.a",0.15068,FALSE,FALSE,FALSE,0.145826723865936,FALSE,FALSE,0.259364747255687,FALSE,FALSE,0.33901681072463,FALSE,FALSE,0.171295808754498,FALSE,FALSE,0.257950726960624,FALSE,FALSE,0.116934826695239
"B.b",0.03346,FALSE,FALSE,FALSE,0.102852900729773,FALSE,FALSE,0.0974955314253543,FALSE,FALSE,0.269555479732826,FALSE,FALSE,0.354951354653552,FALSE,FALSE,0.864876838234205,FALSE,FALSE,0.88665039729112
"B.c",0.08633,FALSE,FALSE,FALSE,0.304558087485811,FALSE,FALSE,0.494976519011219,FALSE,FALSE,0.489714698694406,FALSE,FALSE,0.315954473229938,FALSE,FALSE,0.302769844964125,FALSE,FALSE,0.163019379944749
"B.d",0.18071,FALSE,FALSE,FALSE,0.576969139104673,FALSE,FALSE,0.857514204842627,FALSE,FALSE,0.709204870976384,FALSE,FALSE,0.789471701494391,FALSE,FALSE,0.453898183330622,FALSE,FALSE,0.402671724160661
"B.e",0.20384,FALSE,FALSE,TRUE,0.0406546908313207,FALSE,FALSE,0.19107026864302,FALSE,FALSE,0.141753130623751,FALSE,FALSE,0.482405107769143,FALSE,FALSE,0.502276530840165,FALSE,FALSE,0.984097366596783
"B.f",0.1777,FALSE,TRUE,FALSE,0.00540656879639334,TRUE,FALSE,0.016871066000727,FALSE,FALSE,0.0634228393679728,TRUE,FALSE,0.0112637304222596,TRUE,FALSE,0.0471529524137675,TRUE,FALSE,0.00889740782858239
"B.g",0.02683,FALSE,FALSE,FALSE,0.124819460425412,FALSE,FALSE,0.405285365947461,FALSE,FALSE,0.291891904107649,FALSE,FALSE,0.782383858980592,FALSE,FALSE,0.826662946725234,FALSE,FALSE,0.662648934556757
"B.h",0.0875,FALSE,FALSE,TRUE,0.00237017572523337,FALSE,TRUE,0.00168707024564666,FALSE,TRUE,0.0282957164261989,FALSE,TRUE,0.0309428893860273,FALSE,FALSE,0.248135571247713,FALSE,FALSE,0.327852319316639
"B.i",0.12191,FALSE,FALSE,FALSE,0.100017069330548,FALSE,FALSE,0.24464000099208,FALSE,FALSE,0.229850494501274,FALSE,FALSE,0.5463412613124,FALSE,FALSE,0.570199274094617,FALSE,FALSE,0.982210792444964
"B.j",0.21196,FALSE,FALSE,TRUE,0.00380699726073262,FALSE,TRUE,0.0143799876967745,FALSE,TRUE,0.0329060781015428,FALSE,FALSE,0.0976876689162725,FALSE,FALSE,0.200117800929742,FALSE,FALSE,0.411464226192199
"C.a",0.04043,FALSE,FALSE,FALSE,0.918865734949658,FALSE,FALSE,0.723852206777202,FALSE,FALSE,0.932154182592568,FALSE,FALSE,0.880977578364966,FALSE,FALSE,0.507898995106895,FALSE,FALSE,0.330441387294176
"C.b",0.11021,FALSE,FALSE,FALSE,0.467478220841665,FALSE,FALSE,0.90408758216283,FALSE,FALSE,0.641010233885974,FALSE,FALSE,0.725726157531909,FALSE,FALSE,0.794644326949271,FALSE,FALSE,0.279656576526331
"C.c",0.07847,FALSE,FALSE,FALSE,0.54008030607527,FALSE,FALSE,0.89275137513447,FALSE,FALSE,0.691632260378174,FALSE,FALSE,0.573669026672256,FALSE,FALSE,0.820146891671831,FALSE,FALSE,0.21874273873507
"C.d",0.08572,FALSE,FALSE,TRUE,0.000163883915320295,FALSE,TRUE,0.000584864072861213,FALSE,TRUE,0.00746820191088683,FALSE,TRUE,0.019220748610242,FALSE,FALSE,0.272128452153857,FALSE,FALSE,0.466179722169577
"C.e",0.04696,FALSE,FALSE,FALSE,0.538413773773421,FALSE,FALSE,0.869897730686982,FALSE,FALSE,0.678132534019264,FALSE,FALSE,0.755451364453637,FALSE,FALSE,0.352455307885841,FALSE,FALSE,0.281126640301044
"C.f",0.12518,FALSE,FALSE,FALSE,0.726582991820407,FALSE,FALSE,0.406036342146378,FALSE,FALSE,0.809268940521887,FALSE,FALSE,0.245901074252144,FALSE,FALSE,0.440027575029448,FALSE,FALSE,0.0992962292289057
