"","Null.r","Truly.exceptional","Except.depaup.crown.0.0","Except.diverse.crown.0.0","Pval.crown.0.0","Except.depaup.stem.0.0","Except.diverse.stem.0.0","Pval.stem.0.0","Except.depaup.crown.0.5","Except.diverse.crown.0.5","Pval.crown.0.5","Except.depaup.stem.0.5","Except.diverse.stem.0.5","Pval.stem.0.5","Except.depaup.crown.0.9","Except.diverse.crown.0.9","Pval.crown.0.9","Except.depaup.stem.0.9","Except.diverse.stem.0.9","Pval.stem.0.9"
"A.a",0.04426,FALSE,FALSE,FALSE,0.0782079622949656,FALSE,FALSE,0.209464043896715,FALSE,FALSE,0.251811651329171,FALSE,FALSE,0.142206590931626,FALSE,FALSE,0.230990394938857,FALSE,FALSE,0.113130340120004
"A.b",0.04508,FALSE,FALSE,FALSE,0.282372538271316,FALSE,FALSE,0.124211491125874,FALSE,FALSE,0.480062896677819,FALSE,FALSE,0.412899825907662,FALSE,FALSE,0.913608722553984,FALSE,FALSE,0.819467245355527
"A.c",0.27491,TRUE,FALSE,FALSE,0.623027343790031,FALSE,FALSE,0.892751375120466,FALSE,FALSE,0.75413114674518,FALSE,FALSE,0.573669026661936,FALSE,FALSE,0.765305856676129,FALSE,FALSE,0.21874273873117
"A.d",0.08312,FALSE,TRUE,FALSE,0.0461476387659794,TRUE,FALSE,0.0215216984979765,FALSE,FALSE,0.181844544700579,TRUE,FALSE,0.014374270198166,FALSE,FALSE,0.117103408612919,TRUE,FALSE,0.0113563412367366
"A.e",0.15752,FALSE,FALSE,FALSE,0.0903728134813535,FALSE,FALSE,0.496857336698853,FALSE,FALSE,0.280279850330486,FALSE,FALSE,0.346746535283377,FALSE,FALSE,0.298093407884108,FALSE,FALSE,0.279120569121099
"A.f",0.0679,FALSE,FALSE,FALSE,0.797149470613242,FALSE,FALSE,0.13829272538271,FALSE,FALSE,0.858991437875184,FALSE,FALSE,0.0910051711833428,FALSE,FALSE,0.527618073907648,FALSE,FALSE,0.0641014203439574
"A.g",0.15915,FALSE,TRUE,FALSE,0.00550724517127277,FALSE,FALSE,0.0677107524222813,FALSE,FALSE,0.0646873120930911,TRUE,FALSE,0.0442733150453221,FALSE,FALSE,0.0548915244166723,TRUE,FALSE,0.0310740887294434
"A.h",0.07843,FALSE,FALSE,FALSE,0.675068305145513,FALSE,FALSE,0.534950586939921,FALSE,FALSE,0.773856808638694,FALSE,FALSE,0.326499294434369,FALSE,FALSE,0.414227373290675,FALSE,FALSE,0.125767448152176
"A.i",0.01991,FALSE,TRUE,FALSE,0.031638673784999,FALSE,FALSE,0.318944630647595,FALSE,FALSE,0.162692586585708,FALSE,FALSE,0.218729660974086,FALSE,FALSE,0.17719564355981,FALSE,FALSE,0.174758785491491
"A.j",0.05884,FALSE,FALSE,FALSE,0.815690308444089,FALSE,FALSE,0.917068262298949,FALSE,FALSE,0.890633141012671,FALSE,FALSE,0.730262240436862,FALSE,FALSE,0.640527146596344,FALSE,FALSE,0.338371218986378
"B.a",0.15068,FALSE,TRUE,FALSE,0.0410542590030838,FALSE,FALSE,0.134183689191055,FALSE,FALSE,0.175587465494421,FALSE,FALSE,0.0875648030284826,FALSE,FALSE,0.13341129994608,FALSE,FALSE,0.0593479583713767
"B.b",0.03346,FALSE,FALSE,FALSE,0.804949750969845,FALSE,FALSE,0.522274423095469,FALSE,FALSE,0.887415950162825,FALSE,FALSE,0.927500015634187,FALSE,FALSE,0.621263226885257,FALSE,FALSE,0.458427254286223
"B.c",0.08633,FALSE,FALSE,FALSE,0.0716934819900292,FALSE,FALSE,0.237427422428597,FALSE,FALSE,0.230698233944014,FALSE,FALSE,0.14714860912709,FALSE,FALSE,0.140692376612968,FALSE,FALSE,0.0741666756973567
"B.d",0.18071,FALSE,FALSE,FALSE,0.195933347953082,FALSE,FALSE,0.690409067805808,FALSE,FALSE,0.385395734681605,FALSE,FALSE,0.444025515308423,FALSE,FALSE,0.241482103980627,FALSE,FALSE,0.212639781219612
"B.e",0.20384,FALSE,FALSE,FALSE,0.435331273208625,FALSE,FALSE,0.623495879005751,FALSE,FALSE,0.578346633463096,FALSE,FALSE,0.987358859108572,FALSE,FALSE,0.991896507617844,FALSE,FALSE,0.593440556823664
"B.f",0.1777,FALSE,TRUE,FALSE,0.00101155841675338,TRUE,FALSE,0.00768638597538374,TRUE,FALSE,0.0290185896153861,TRUE,FALSE,0.00512776430394735,TRUE,FALSE,0.0215722222728976,TRUE,FALSE,0.00404919441304696
"B.g",0.02683,FALSE,FALSE,FALSE,0.701151282347112,FALSE,FALSE,0.900317017389521,FALSE,FALSE,0.806100527188027,FALSE,FALSE,0.749093241740941,FALSE,FALSE,0.713675268407656,FALSE,FALSE,0.364548340419561
"B.h",0.0875,FALSE,FALSE,FALSE,0.120651544584948,FALSE,FALSE,0.0580873522489476,FALSE,FALSE,0.270507318939014,FALSE,FALSE,0.248768524480197,FALSE,FALSE,0.705664625234611,FALSE,FALSE,0.809755912996798
"B.i",0.12191,FALSE,FALSE,FALSE,0.64454831344174,FALSE,FALSE,0.707983277794984,FALSE,FALSE,0.726842153438264,FALSE,FALSE,0.946860545728803,FALSE,FALSE,0.923668870169235,FALSE,FALSE,0.592682115817078
"B.j",0.21196,FALSE,FALSE,FALSE,0.150725461506856,FALSE,FALSE,0.170880141828941,FALSE,FALSE,0.291394461553194,FALSE,FALSE,0.444070666873663,FALSE,FALSE,0.636114920350584,FALSE,FALSE,0.909363455749035
"C.a",0.04043,FALSE,FALSE,FALSE,0.263034568342701,FALSE,FALSE,0.796794110073257,FALSE,FALSE,0.50436902202527,FALSE,FALSE,0.503990359900689,FALSE,FALSE,0.272310206576831,FALSE,FALSE,0.172674844092697
"C.b",0.11021,FALSE,FALSE,FALSE,0.319528128395695,FALSE,FALSE,0.465064377750477,FALSE,FALSE,0.553889887502802,FALSE,FALSE,0.279026221826995,FALSE,FALSE,0.310015146909959,FALSE,FALSE,0.0979363425087962
"C.c",0.07847,FALSE,FALSE,FALSE,0.560084858297205,FALSE,FALSE,0.511881305218207,FALSE,FALSE,0.725966284911882,FALSE,FALSE,0.311017481832293,FALSE,FALSE,0.462612423575997,FALSE,FALSE,0.112537544072026
"C.d",0.08572,FALSE,FALSE,FALSE,0.0516071485052147,FALSE,TRUE,0.0434493128670144,FALSE,FALSE,0.185225250883501,FALSE,FALSE,0.224766361172895,FALSE,FALSE,0.785238656276807,FALSE,FALSE,0.992154547371972
"C.e",0.04696,FALSE,FALSE,FALSE,0.294593058075376,FALSE,FALSE,0.680986936618416,FALSE,FALSE,0.532882271235759,FALSE,FALSE,0.422312682724967,FALSE,FALSE,0.294666584497408,FALSE,FALSE,0.145883844146488
"C.f",0.12518,FALSE,FALSE,FALSE,0.190323474203844,FALSE,FALSE,0.214523224539942,FALSE,FALSE,0.434082260046923,FALSE,FALSE,0.126981620085987,FALSE,FALSE,0.233534992696197,FALSE,FALSE,0.0502801376756228
"C.g",0.06541,FALSE,FALSE,FALSE,0.068551865143005,FALSE,FALSE,0.354628436183015,FALSE,FALSE,0.224977811395795,FALSE,FALSE,0.225685133564994,FALSE,FALSE,0.158621172702086,FALSE,FALSE,0.12311676940406
"C.h",0.13265,FALSE,FALSE,TRUE,5.88929462693595e-09,FALSE,TRUE,3.14271483301997e-06,FALSE,TRUE,2.5923088429673e-05,FALSE,TRUE,0.000989363116746009,FALSE,TRUE,0.0381870288857393,FALSE,FALSE,0.149142226189111
"C.i",0.10901,FALSE,FALSE,TRUE,1.05668441110014e-05,FALSE,TRUE,0.000341667951509947,FALSE,TRUE,0.00164597586298885,FALSE,TRUE,0.0136350879280171,FALSE,FALSE,0.116923466227394,FALSE,FALSE,0.297072357570806
"C.j",0.05609,FALSE,FALSE,TRUE,0.63848004563178,FALSE,FALSE,0.920538106073622,FALSE,TRUE,0.779394999068946,FALSE,FALSE,0.729557187182644,FALSE,FALSE,0.979328132429005,FALSE,FALSE,0.265631576842894
"D.a",0.02848,FALSE,FALSE,FALSE,0.942275360608835,FALSE,FALSE,0.579310934592688,FALSE,FALSE,0.942334699716179,FALSE,FALSE,0.946707782642181,FALSE,FALSE,0.736725820101,FALSE,FALSE,0.613513297109065
"D.b",0.1729,FALSE,FALSE,TRUE,2.00878879921894e-07,FALSE,TRUE,2.01119946096515e-07,FALSE,TRUE,0.000179851683322099,FALSE,TRUE,0.000197896063306478,FALSE,FALSE,0.064889347640252,FALSE,FALSE,0.0879505036501807
"D.c",0.07486,FALSE,FALSE,FALSE,0.351380433934883,FALSE,FALSE,0.164957282351496,FALSE,FALSE,0.581189040315635,FALSE,FALSE,0.0980966889591748,FALSE,FALSE,0.338727894909423,TRUE,FALSE,0.0410726900648992
"D.d",0.18003,FALSE,FALSE,TRUE,5.52950478476401e-05,FALSE,TRUE,6.11555005852753e-06,FALSE,TRUE,0.00398571772871576,FALSE,TRUE,0.00139794846307165,FALSE,FALSE,0.157564557403719,FALSE,FALSE,0.146822003327319
"D.e",0.16312,FALSE,FALSE,FALSE,0.303224091902839,FALSE,FALSE,0.0658886635843712,FALSE,FALSE,0.539587006560101,TRUE,FALSE,0.0392467806370513,FALSE,FALSE,0.296550617148885,TRUE,FALSE,0.0175282772160226
"D.f",0.23441,FALSE,TRUE,FALSE,0.0486613440649084,FALSE,FALSE,0.133514738103126,FALSE,FALSE,0.224984066269504,FALSE,FALSE,0.0785263529418057,FALSE,FALSE,0.112295685214197,TRUE,FALSE,0.0316852828438789
"D.g",0.13439,FALSE,FALSE,TRUE,9.19383943273546e-07,FALSE,TRUE,1.82006877686345e-06,FALSE,TRUE,0.000407173860113782,FALSE,TRUE,0.000680732395889413,FALSE,FALSE,0.066514691445767,FALSE,FALSE,0.103039826213442
"D.h",0.06703,FALSE,TRUE,FALSE,0.00280189967337163,FALSE,FALSE,0.0844798611170627,FALSE,FALSE,0.0570925052750286,FALSE,FALSE,0.0501978284341809,TRUE,FALSE,0.0326347097605542,TRUE,FALSE,0.0219317799143446
"D.i",0.09043,FALSE,FALSE,FALSE,0.202520389105843,FALSE,FALSE,0.0788518556089458,FALSE,FALSE,0.382952438073348,FALSE,FALSE,0.30855479209116,FALSE,FALSE,0.914461903146828,FALSE,FALSE,0.983735673555739
"D.j",0.05228,FALSE,FALSE,FALSE,0.156400221562027,FALSE,FALSE,0.185937055689213,FALSE,FALSE,0.34424549997135,FALSE,FALSE,0.517449300006338,FALSE,FALSE,0.972823766029777,FALSE,FALSE,0.702691623663652
"E.a",0.06857,FALSE,FALSE,TRUE,2.93614262067456e-27,FALSE,TRUE,3.89618512206272e-26,FALSE,TRUE,1.18689423031909e-15,FALSE,TRUE,4.08218025514681e-15,FALSE,TRUE,3.13993099128824e-05,FALSE,TRUE,5.40231674227541e-05
"E.b",0.04346,FALSE,FALSE,FALSE,0.705110343994929,FALSE,FALSE,0.637992387715563,FALSE,FALSE,0.781321103753611,FALSE,FALSE,0.954557205964107,FALSE,FALSE,0.410027447397567,FALSE,FALSE,0.386803028314978
"E.c",0.13931,FALSE,FALSE,FALSE,0.75142929122868,FALSE,FALSE,0.880132728277578,FALSE,FALSE,0.830737916528428,FALSE,FALSE,0.588422264663801,FALSE,FALSE,0.521425026341133,FALSE,FALSE,0.307317102957535
"E.d",0.05907,FALSE,FALSE,FALSE,0.844290859667699,FALSE,FALSE,0.475759358097238,FALSE,FALSE,0.876068015401522,FALSE,FALSE,0.881136091307161,FALSE,FALSE,0.458422659844796,FALSE,FALSE,0.453262998323024
"E.e",0.20111,FALSE,FALSE,FALSE,0.0538420161656651,FALSE,TRUE,0.00893055213529633,FALSE,FALSE,0.190419638879439,FALSE,FALSE,0.0916035275984949,FALSE,FALSE,0.778265211836542,FALSE,FALSE,0.747171414176884
"E.f",0.04694,FALSE,FALSE,FALSE,0.533397298709722,FALSE,FALSE,0.916289972603751,FALSE,FALSE,0.676699005295518,FALSE,FALSE,0.720252914512114,FALSE,FALSE,0.359385313010736,FALSE,FALSE,0.274036637396604
"E.g",0.09007,FALSE,FALSE,FALSE,0.335687663701273,FALSE,FALSE,0.407291421325086,FALSE,FALSE,0.51714940979135,FALSE,FALSE,0.260741475271067,FALSE,FALSE,0.325948061869858,FALSE,FALSE,0.142886428504711
"E.h",0.08042,FALSE,FALSE,FALSE,0.285086044685283,FALSE,FALSE,0.951760730080216,FALSE,FALSE,0.474511920945559,FALSE,FALSE,0.615712398291252,FALSE,FALSE,0.247290764533173,FALSE,FALSE,0.235736395280672
"E.i",0.0879,FALSE,FALSE,FALSE,0.316382451807483,FALSE,FALSE,0.141756344095328,FALSE,FALSE,0.549957979021391,FALSE,FALSE,0.0827845926086546,FALSE,FALSE,0.301158613783125,TRUE,FALSE,0.0320610346472436
"E.j",0.02702,FALSE,FALSE,FALSE,0.901306415993678,FALSE,FALSE,0.423695202366805,FALSE,FALSE,0.923259592589667,FALSE,FALSE,0.807012470319638,FALSE,FALSE,0.512533362698743,FALSE,FALSE,0.495983086377766
"F.a",0.03375,FALSE,FALSE,FALSE,0.0836809754547927,FALSE,FALSE,0.9447788286218,FALSE,FALSE,0.239407727639248,FALSE,FALSE,0.708784893781313,FALSE,FALSE,0.827991032972458,FALSE,FALSE,0.327680200082784
"F.b",0.03047,FALSE,FALSE,FALSE,0.374919398008597,FALSE,FALSE,0.152898989997414,FALSE,FALSE,0.559329549276152,FALSE,FALSE,0.438926759668315,FALSE,FALSE,0.881597619465032,FALSE,FALSE,0.765649840214872
"F.c",0.11692,FALSE,FALSE,FALSE,0.926912789938512,FALSE,FALSE,0.68121130510764,FALSE,FALSE,0.960206382232921,FALSE,FALSE,0.933570373695245,FALSE,FALSE,0.646296770690464,FALSE,FALSE,0.364301285035311
"F.d",0.07551,FALSE,FALSE,FALSE,0.592279715104748,FALSE,FALSE,0.957951142468827,FALSE,FALSE,0.737905474036438,FALSE,FALSE,0.687497291955854,FALSE,FALSE,0.716201897745927,FALSE,FALSE,0.280995479165647
"F.e",0.17535,FALSE,FALSE,FALSE,0.462226832173389,FALSE,FALSE,0.740554364197566,FALSE,FALSE,0.659806684621221,FALSE,FALSE,0.46321658454587,FALSE,FALSE,0.391043712370188,FALSE,FALSE,0.157953982512482
"F.f",0.03897,FALSE,FALSE,TRUE,6.59070857639295e-24,FALSE,TRUE,8.11818940975515e-18,FALSE,TRUE,1.26008295217539e-13,FALSE,TRUE,2.75931113067468e-10,FALSE,TRUE,8.02255393445725e-05,FALSE,TRUE,0.00096086261485331
"F.g",0.07197,FALSE,FALSE,FALSE,0.789253437875502,FALSE,FALSE,0.997660748450018,FALSE,FALSE,0.839531866067076,FALSE,FALSE,0.658386817810936,FALSE,FALSE,0.454165698300905,FALSE,FALSE,0.275636776783183
"F.h",0.12606,FALSE,FALSE,FALSE,0.0608974968856879,FALSE,FALSE,0.18501305166191,FALSE,FALSE,0.212024095556776,FALSE,FALSE,0.112186253466893,FALSE,FALSE,0.117961253680328,FALSE,FALSE,0.0519312905015188
