,,,,,,,,,"Net diversiffication, speciation, extinction,  number of shifts, and effective sample sizes estimated using BAMM",,,,,,,,,,,,,,,,,,,,,,,,,,,Net diversiffication rates estimated using MS estimators (stem-group age),,,,,,,,,,,,,,,,,,Net diversiffication rates estimated using MS estimators (crown-group age),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated trees,,,,,Simulated rates,,,,Taxon sampling = 100%,,,,,,,Effective sample size,,Taxon sampling = 50%,,,,,,,Effective sample size,,Taxon sampling = 25%,,,,,,,Effective sample size,,Taxon sampling = 100%,,,,,,Taxon sampling = 50%,,,,,,Taxon sampling = 25%,,,,,,Taxon sampling = 100%,,,,,,Taxon sampling = 50%,,,,,,Taxon sampling = 25%,,,,,,,,,,,,,,,,,,,,,,,,,,
Backbone tree,Clade,No. of tips,Age (stem),Age (crown),Speciation,Extinction,Fraction,Net Div.,Net Div.,(Error),Speciation,(Error),Extinction ,(Error),No. of Shifts ,Rate shifts,Log-likelihood,Net Div.,(Error),Speciation,(Error),Extinction ,(Error),No. of Shifts ,Rate shifts,Log-likelihood,Net Div.,(Error),Speciation,(Error),Extinction ,(Error),No. of Shifts ,Rate shifts,Log-likelihood,epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),,,,,,,,,,,,,,,,,,,,,
A,a,618,100,85.746,0.20824,0.16398,0.78744,0.04426,0.03972,-10.26%,0.22579,8.43%,0.18607,13.47%,4,3803,3152,0.04508,1.85%,0.20018,-3.87%,0.15510,-5.41%,4,4222,1948,0.04648,5.01%,0.16038,-22.98%,0.11390,-30.54%,2,235,177,0.06427,45.19%,0.05735,29.57%,0.04138,-6.50%,0.06427,45.19%,0.05735,29.57%,0.04138,-6.50%,0.06427,45.19%,0.05735,29.57%,0.04138,-6.50%,0.06686,51.06%,0.06353,43.52%,0.04766,7.69%,0.06686,51.06%,0.06353,43.52%,0.04766,7.69%,0.06686,51.06%,0.06353,43.52%,0.04766,7.69%,,,,,,,,,,,,,,,,,,,,,
,b,11,20.645,14.012,0.17304,0.12796,0.73949,0.04508,0.24141,435.52%,0.30477,76.12%,0.06336,-50.48%,,3803,3152,0.18205,303.85%,0.22801,31.77%,0.04596,-64.08%,,4222,1948,0.23834,428.71%,0.31099,79.72%,0.07265,-43.22%,,235,177,0.11615,157.66%,0.08679,92.53%,0.03358,-25.52%,0.11615,157.66%,0.08679,92.53%,0.03358,-25.52%,0.11615,157.66%,0.08679,92.53%,0.03358,-25.52%,0.12166,169.89%,0.10656,136.38%,0.04563,1.22%,0.12166,169.89%,0.10656,136.38%,0.04563,1.22%,0.12166,169.89%,0.10656,136.38%,0.04563,1.22%,,,,,,,,,,,,,,,,,,,,,
,c,936,20.645,19.311,0.29595,0.02104,0.07111,0.27491,0.24601,-10.51%,0.30945,4.56%,0.06344,201.48%,,3803,3152,0.24973,-9.16%,0.30579,3.32%,0.05605,166.36%,,4222,1948,0.23963,-12.83%,0.31229,5.52%,0.07266,245.27%,,235,177,0.33140,20.55%,0.29788,8.36%,0.22033,-19.85%,0.33140,20.55%,0.29788,8.36%,0.22033,-19.85%,0.33140,20.55%,0.29788,8.36%,0.22033,-19.85%,0.31839,15.82%,0.30354,10.42%,0.23288,-15.29%,0.31839,15.82%,0.30354,10.42%,0.23288,-15.29%,0.31839,15.82%,0.30354,10.42%,0.23288,-15.29%,,,,,,,,,,,,,,,,,,,,,
,d,21,30.434,24.887,0.20520,0.12208,0.59492,0.08312,0.14429,73.59%,0.22358,8.95%,0.07928,-35.05%,,3803,3152,0.14017,68.63%,0.23415,14.11%,0.09398,-23.01%,,4222,1948,0.13821,66.27%,0.22516,9.73%,0.08695,-28.78%,,235,177,0.10004,20.35%,0.07879,-5.21%,0.03610,-56.57%,0.10004,20.35%,0.07879,-5.21%,0.03610,-56.57%,0.10004,20.35%,0.07879,-5.21%,0.03610,-56.57%,0.09448,13.67%,0.08457,1.74%,0.04203,-49.43%,0.09448,13.67%,0.08457,1.74%,0.04203,-49.43%,0.09448,13.67%,0.08457,1.74%,0.04203,-49.43%,,,,,,,,,,,,,,,,,,,,,
,e,258,30.434,25.725,0.23159,0.07408,0.31985,0.15752,0.14410,-8.52%,0.22373,-3.40%,0.07963,7.50%,,3803,3152,0.13714,-12.94%,0.23107,-0.23%,0.09393,26.80%,,4222,1948,0.14148,-10.18%,0.22835,-1.40%,0.08687,17.27%,,235,177,0.18246,15.83%,0.15981,1.45%,0.10793,-31.48%,0.18246,15.83%,0.15981,1.45%,0.10793,-31.48%,0.18246,15.83%,0.15981,1.45%,0.10793,-31.48%,0.18891,19.93%,0.17786,12.92%,0.12569,-20.21%,0.18891,19.93%,0.17786,12.92%,0.12569,-20.21%,0.18891,19.93%,0.17786,12.92%,0.12569,-20.21%,,,,,,,,,,,,,,,,,,,,,
,f,24,31.256,22.515,0.07202,0.00412,0.05727,0.06790,0.14055,107.00%,0.21853,203.43%,0.07799,1790.91%,,3803,3152,0.13918,104.99%,0.23287,223.34%,0.09369,2171.61%,,4222,1948,0.13972,105.78%,0.22666,214.72%,0.08694,2008.14%,,235,177,0.10168,49.76%,0.08081,19.02%,0.03820,-43.74%,0.10168,49.76%,0.08081,19.02%,0.03820,-43.74%,0.10168,49.76%,0.08081,19.02%,0.03820,-43.74%,0.11037,62.55%,0.09919,46.09%,0.05070,-25.32%,0.11037,62.55%,0.09919,46.09%,0.05070,-25.32%,0.11037,62.55%,0.09919,46.09%,0.05070,-25.32%,,,,,,,,,,,,,,,,,,,,,
,g,339,31.256,29.143,0.28110,0.12196,0.43385,0.15915,0.14427,-9.34%,0.22359,-20.46%,0.07932,-34.96%,,3803,3152,0.13669,-14.11%,0.23075,-17.91%,0.09406,-22.87%,,4222,1948,0.14116,-11.30%,0.22813,-18.84%,0.08697,-28.68%,,235,177,0.18640,17.13%,0.16432,3.25%,0.11357,-28.64%,0.18640,17.13%,0.16432,3.25%,0.11357,-28.64%,0.18640,17.13%,0.16432,3.25%,0.11357,-28.64%,0.17613,10.67%,0.16635,4.53%,0.12004,-24.57%,0.17613,10.67%,0.16635,4.53%,0.12004,-24.57%,0.17613,10.67%,0.16635,4.53%,0.12004,-24.57%,,,,,,,,,,,,,,,,,,,,,
,h,166,52.988,46.851,0.18907,0.11064,0.58520,0.07843,0.09647,23.00%,0.15698,-16.97%,0.06051,-45.31%,,3803,3152,0.10185,29.86%,0.17471,-7.59%,0.07286,-34.14%,,4222,1948,0.05518,-29.65%,0.16773,-11.28%,0.11256,1.73%,,235,177,0.09647,23.01%,0.08351,6.48%,0.05402,-31.12%,0.09647,23.01%,0.08351,6.48%,0.05402,-31.12%,0.09647,23.01%,0.08351,6.48%,0.05402,-31.12%,0.09432,20.26%,0.08829,12.58%,0.05999,-23.50%,0.09432,20.26%,0.08829,12.58%,0.05999,-23.50%,0.09432,20.26%,0.08829,12.58%,0.05999,-23.50%,,,,,,,,,,,,,,,,,,,,,
