Backbone tree,Clade,No. of tips,Age (stem),Age (crown),Speciation,Extinction,Fraction,Net Div.
A,a,618,100,85.746,0.20824,0.16398,0.78744,0.04426
A,b,11,20.645,14.012,0.17304,0.12796,0.73949,0.04508
A,c,936,20.645,19.311,0.29595,0.02104,0.07111,0.27491
A,d,21,30.434,24.887,0.2052,0.12208,0.59492,0.08312
A,e,258,30.434,25.725,0.23159,0.07408,0.31985,0.15752
A,f,24,31.256,22.515,0.07202,0.00412,0.05727,0.0679
A,g,339,31.256,29.143,0.2811,0.12196,0.43385,0.15915
A,h,166,52.988,46.851,0.18907,0.11064,0.5852,0.07843
A,i,12,52.988,44.565,0.05298,0.03307,0.62424,0.01991
A,j,400,93.1,91.891,0.0868,0.02796,0.32211,0.05884
B,a,88,29.685,26.506,0.15661,0.00593,0.03787,0.15068
B,b,14,29.685,13.038,0.12921,0.09575,0.74103,0.03346
B,c,37,28.673,26.684,0.15865,0.07233,0.45588,0.08633
B,d,648,28.673,26.012,0.19289,0.01218,0.06315,0.18071
B,e,243,20.356,19.494,0.22574,0.0219,0.09702,0.20384
B,f,186,20.356,18.843,0.25271,0.07502,0.29684,0.1777
B,g,34,86.429,77.967,0.03022,0.00339,0.11209,0.02683
B,h,217,49.11,43.648,0.12222,0.03472,0.28406,0.0875
B,i,122,27.006,22.628,0.18427,0.06236,0.33843,0.12191
B,j,679,27.006,20.421,0.26324,0.05128,0.19482,0.21196
C,a,21,30.367,17.708,0.10524,0.06481,0.61582,0.04043
C,b,10,30.367,9.737,0.19188,0.08167,0.42564,0.11021
C,c,135,61.5,49,0.13207,0.0536,0.40584,0.07847
C,d,611,61.5,49.877,0.11702,0.03131,0.26752,0.08572
C,e,58,45.251,39.625,0.28321,0.23625,0.83419,0.04696
C,f,46,39.725,27.015,0.13828,0.01309,0.09469,0.12518
C,g,10,15.665,7.242,0.09215,0.02674,0.29019,0.06541
C,h,27,15.665,14.109,0.25621,0.12356,0.48226,0.13265
C,i,214,80.497,45.044,0.14415,0.03514,0.24378,0.10901
C,j,247,80.497,74.233,0.11808,0.06199,0.52497,0.05609
D,a,58,100,56.825,0.21831,0.18983,0.86954,0.02848
D,b,70,21.591,21.438,0.26026,0.08736,0.33567,0.1729
D,c,30,21.591,20.407,0.22278,0.14792,0.66396,0.07486
D,d,1333,33.747,27.27,0.27086,0.09083,0.33533,0.18003
D,e,53,29.244,17.333,0.24134,0.07822,0.32411,0.16312
D,f,803,26.75,23.168,0.29082,0.05641,0.19397,0.23441
D,g,69,26.75,26.192,0.13925,0.00486,0.03491,0.13439
D,h,11,19.267,9.571,0.22023,0.15319,0.69562,0.06703
D,i,37,19.267,15.289,0.2187,0.12827,0.58651,0.09043
D,j,125,78.96,65.06,0.07615,0.02387,0.31346,0.05228
E,a,1305,100,97.684,0.07165,0.00308,0.04301,0.06857
E,b,10,23.746,19.441,0.13932,0.09586,0.68803,0.04346
